Chromosome,Pos,Region,Mdiff,Q-value,Gene ID,Gene symbol,Gene name
NC_027316.1,4444456,Intron,42.27,4.9E-173,106575142,LOC106575142,ras-associated and pleckstrin homology domains-containing protein 1-like
NC_027307.1,25046367,Intron,-25.1,2.4E-151,106610529,LOC106610529,interferon-induced very large GTPase 1-like
NC_027307.1,25046342,Intron,-25.42,3.1E-150,106610529,LOC106610529,interferon-induced very large GTPase 1-like
NC_027320.1,45731571,Exon,-36.9,1.6E-139,106582383,rab3gap1,RAB3 GTPase activating protein catalytic subunit 1
NC_027312.1,22198016,Flanks,-35.28,3.5E-134,106566685,LOC106566685,voltage-dependent L-type calcium channel subunit alpha-1D-like
NC_027312.1,82829437,Intron,-37.48,3.6E-116,106568073,LOC106568073,cytochrome P450 3A30-like
NC_027312.1,82829455,Intron,-31.83,2.3E-110,106568073,LOC106568073,cytochrome P450 3A30-like
NC_027319.1,1368527,Flanks,37.62,4.0E-95,106579816,LOC106579816,kelch-like protein diablo
NC_027321.1,7676989,Intron,54.11,1.2E-93,106582707,LOC106582707,metabotropic glutamate receptor 4-like
NC_027312.1,78618200,Exon,-50.16,1.0E-91,106567858,LOC106567858,ribose-phosphate pyrophosphokinase 1-like
NC_027319.1,1368497,Flanks,36.17,1.1E-82,106579816,LOC106579816,kelch-like protein diablo
NC_027319.1,47849122,Intron,33.6,4.5E-80,106580806,LOC106580806,limbic system-associated membrane protein-like
NC_027312.1,82829428,Intron,-30.49,7.2E-80,106568073,LOC106568073,cytochrome P450 3A30-like
NC_027312.1,78618174,Exon,-48.48,2.7E-77,106567858,LOC106567858,ribose-phosphate pyrophosphokinase 1-like
NC_027302.1,56273567,Intron,-25.7,2.2E-76,106600859,LOC106600859,retinoic acid receptor alpha-B
NC_027308.1,106142257,Intron,-26.77,4.2E-76,106612588,LOC106612588,MAP/microtubule affinity-regulating kinase 4-like
NC_027319.1,1368525,Flanks,33.14,5.0E-76,106579816,LOC106579816,kelch-like protein diablo
NC_027319.1,16328330,P1K,-44.79,9.0E-76,106580048,LOC106580048,mothers against decapentaplegic homolog 2-like
NC_027302.1,30199632,Intron,38.57,1.8E-75,106599764,LOC106599764,EF-hand calcium-binding domain-containing protein 14-like
NC_027304.1,44804888,P6K,-23.4,1.9E-72,106604983,LOC106604983,transcription initiation factor TFIID subunit 12-like
NC_027319.1,47849110,Intron,29.85,8.2E-72,106580806,LOC106580806,limbic system-associated membrane protein-like
NC_027323.1,24046825,P6K,38.44,2.3E-71,106585310,LOC106585310,mucin-17-like
NC_027303.1,75475146,Intron,-24.78,5.1E-70,106603928,LOC106603928,protein spinster homolog 3-like
NC_027319.1,1368530,Flanks,31.49,1.4E-67,106579816,LOC106579816,kelch-like protein diablo
NC_027320.1,26458772,Flanks,26.43,3.4E-67,100195685,LOC100195685,serine/threonine-protein kinase SIK2
NC_027313.1,27338381,Intron,-50.75,2.8E-66,106569178,LOC106569178,zinc finger protein 521-like
NC_027320.1,15454886,Intron,33.18,5.0E-66,106581799,LOC106581799,sodium channel protein type 2 subunit alpha-like
NC_027305.1,53452398,Flanks,25.43,4.9E-65,100196829,map3k7,mitogen-activated protein kinase kinase kinase 7
NC_027317.1,14030648,Intron,35.56,2.3E-64,106576938,LOC106576938,potassium channel subfamily K member 18-like
NC_027300.1,129405284,P6K,22.95,1.1E-61,106566689,LOC106566689,MAM domain-containing protein 2-like
NC_027304.1,44804883,P6K,-21.12,3.7E-61,106604983,LOC106604983,transcription initiation factor TFIID subunit 12-like
NC_027303.1,24229361,Intron,36.07,2.2E-60,106602718,ccdc149,coiled-coil domain containing 149
NC_027319.1,69223367,Intron,21.06,3.9E-60,106581321,LOC106581321,proton-coupled amino acid transporter 4-like
NC_027328.1,11320566,P6K,-49.37,5.8E-60,106590128,plexin domain-containing protein 2-like,plexin domain-containing protein 2-like
NC_027302.1,42687638,Intron,-22.59,1.1E-58,106600594,LOC106600594,muscleblind-like protein 1
