Gene ID,Total,GB,Exon,Intron,P,P250,P1K,P6K,Flanks,Gene symbol,Gene name
106610067,11,11,0,11,0,0,0,0,0,LOC106610067,"uncharacterized LOC106610067, transcript variant X1"
106561937,6,6,0,6,0,0,0,0,0,LOC106561937,"leucine zipper protein 2-like, transcript variant X2"
106578606,5,5,5,0,0,0,0,0,0,LOC106578606,homeobox protein engrailed-2a-like
106585836,5,5,0,5,0,0,0,0,0,grid2,"glutamate receptor, ionotropic, delta 2, transcript variant X1"
106612562,5,5,0,5,0,0,0,0,0,LOC106612562,"MDS1 and EVI1 complex locus protein EVI1-like, transcript variant X1"
106563223,5,5,0,5,0,0,0,0,0,LOC106563223,"guanine nucleotide exchange factor VAV2-like, transcript variant X1"
106561454,5,5,0,5,0,0,0,0,0,ric1,"RIC1 homolog, RAB6A GEF complex partner 1"
106613573,5,3,0,3,0,0,0,0,2,LOC106613573,"calcium/calmodulin-dependent protein kinase type IV-like, transcript variant X2"
106591736,5,0,0,0,5,0,0,5,0,LOC106591736,"zinc finger matrin-type protein 4-like, transcript variant X3"
106610962,5,0,0,0,5,0,0,5,0,LOC106610962,transcription factor IIIB 90 kDa subunit-like
106574316,5,0,0,0,5,0,0,5,0,LOC106574316,T-cell-specific surface glycoprotein CD28-like
106610617,5,0,0,0,3,0,0,3,2,LOC106610617,prostaglandin E2 receptor EP2 subtype-like
106566691,5,0,0,0,0,0,0,0,5,LOC106566691,"vesicle-associated membrane protein-associated protein B-like, transcript variant X2"
106590111,4,4,0,4,0,0,0,0,0,LOC106590111,"disks large-associated protein 1-like, transcript variant X1"
106590313,4,4,0,4,0,0,0,0,0,prex2,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2"
100194587,4,4,0,4,0,0,0,0,0,LOC100194587,"protein phosphatase 1, regulatory (inhibitor) subunit 1b-like, transcript variant X1"
106608452,4,4,0,4,0,0,0,0,0,LOC106608452,zinc finger protein 568-like
106609080,4,4,0,4,0,0,0,0,0,LOC106609080,collagen alpha-1(XXV) chain-like
106613191,4,4,0,4,0,0,0,0,0,LOC106613191,"roundabout homolog 2-like, transcript variant X3"
106560380,4,4,0,4,0,0,0,0,0,LOC106560380,"rho GTPase-activating protein 39-like, transcript variant X1"
106562079,4,4,0,4,0,0,0,0,0,zfhx3,"zinc finger homeobox 3, transcript variant X2"
106564882,4,4,0,4,0,0,0,0,0,LOC106564882,"protein kinase C alpha type, transcript variant X1"
106567662,4,4,0,4,0,0,0,0,0,LOC106567662,"syntaxin-1A, transcript variant X2"
106573509,4,4,0,4,0,0,0,0,0,LOC106573509,SH3 and multiple ankyrin repeat domains protein 3-like
106576938,4,4,0,4,0,0,0,0,0,LOC106576938,potassium channel subfamily K member 18-like
106577539,4,4,0,4,0,0,0,0,0,LOC106577539,"neurexin-2-like, transcript variant X1"
106579657,4,4,0,4,0,0,0,0,0,LOC106579657,"receptor-type tyrosine-protein phosphatase mu-like, transcript variant X9"
106600760,4,3,0,3,1,0,0,1,0,LOC106600760,"potassium voltage-gated channel subfamily C member 1-like, transcript variant X3"
