Gene ID,Total,GB,Exon,Intron,P,P250,P1K,P6K,Flanks,Gene symbol,Gene name
106565769,8,0,0,0,0,0,0,0,8,gnl3l,guanine nucleotide binding protein-like 3 (nucleolar)-like
106610702,7,7,7,0,0,0,0,0,0,LOC106610702,membrane-bound O-acyltransferase domain-containing protein 2-like
106562648,7,7,7,0,0,0,0,0,0,"aryl-hydrocarbon receptor nuclear translocator 2, transcript variant X2","aryl-hydrocarbon receptor nuclear translocator 2, transcript variant X2"
106574316,7,0,0,0,7,0,0,7,0,LOC106574316,T-cell-specific surface glycoprotein CD28-like
106579816,7,0,0,0,0,0,0,0,7,LOC106579816,kelch-like protein diablo
106602757,6,6,0,6,0,0,0,0,0,ctnna2,"catenin (cadherin-associated protein), alpha 2, transcript variant X2"
106571823,6,6,0,6,0,0,0,0,0,LOC106571823,zinc finger protein 2 homolog
106578606,5,5,5,0,0,0,0,0,0,LOC106578606,homeobox protein engrailed-2a-like
106573195,5,5,2,3,0,0,0,0,0,LOC106573195,solute carrier family 45 member 3-like
106590111,5,5,0,5,0,0,0,0,0,LOC106590111,"disks large-associated protein 1-like, transcript variant X1"
106566689,5,0,0,0,5,0,1,4,0,LOC106566689,MAM domain-containing protein 2-like
106563039,5,0,0,0,0,0,0,0,5,LOC106563039,"homeobox protein orthopedia B-like, transcript variant X3"
106586910,5,0,0,0,0,0,0,0,5,LOC106586910,"zinc finger CCCH domain-containing protein 15-like, transcript variant X1"
106598420,4,4,4,0,0,0,0,0,0,LOC106598420,KN motif and ankyrin repeat domain-containing protein 2-like
106577965,4,4,4,0,0,0,0,0,0,LOC106577965,tripartite motif-containing protein 7-like
106567858,4,4,3,1,0,0,0,0,0,LOC106567858,"ribose-phosphate pyrophosphokinase 1-like, transcript variant X4"
106562036,4,4,1,3,0,0,0,0,0,LOC106562036,"teashirt homolog 3-like, transcript variant X2"
106571582,4,4,1,3,0,0,0,0,0,LOC106571582,"MAM domain-containing glycosylphosphatidylinositol anchor protein 2-like, transcript variant X1"
100142630,4,4,0,4,0,0,0,0,0,fxyd8,"FXYD domain containing ion transport regulator 8, transcript variant X2"
106610390,4,4,0,4,0,0,0,0,0,LOC106610390,"zinc finger protein 502-like, transcript variant X1"
106613064,4,4,0,4,0,0,0,0,0,LOC106613064,"endothelin-converting enzyme-like 1, transcript variant X1"
106571378,4,4,0,4,0,0,0,0,0,LOC106571378,"protein FAM184A-like, transcript variant X2"
106572392,4,4,0,4,0,0,0,0,0,LOC106572392,"calmodulin-binding transcription activator 1-like, transcript variant X1"
100380336,4,4,0,4,0,0,0,0,0,coda1,"Collagen alpha-1XIII chain, transcript variant X5"
106580147,4,4,0,4,0,0,0,0,0,kiaa0825,"KIAA0825 ortholog, transcript variant X2"
106568086,4,0,0,0,4,2,2,0,0,acaca,"acetyl-CoA carboxylase alpha, transcript variant X4"
106565807,4,0,0,0,4,0,4,0,0,LOC106565807,"inositol hexakisphosphate kinase 2-like, transcript variant X2"
106590128,4,0,0,0,4,0,0,4,0,plexin domain-containing protein 2-like,plexin domain-containing protein 2-like
106565247,4,0,0,0,4,0,0,4,0,LOC106565247,alpha-1A adrenergic receptor-like
106562392,4,0,0,0,0,0,0,0,4,LOC106562392,"kinesin-like protein KIF2A, transcript variant X1"
106586421,4,0,0,0,0,0,0,0,4,LOC106586421,"sterol 26-hydroxylase, mitochondrial-like"
106585631,3,3,3,0,0,0,0,0,0,LOC106585631,"caspase recruitment domain-containing protein 9-like, transcript variant X1"
106599039,3,3,3,0,0,0,0,0,0,LOC106599039,solute carrier family 25 member 36-A-like
106603904,3,3,3,0,0,0,0,0,0,LOC106603904,"uncharacterized LOC106603904, transcript variant X5"
106570268,3,3,3,0,0,0,0,0,0,LOC106570268,phosphatase and actin regulator 4A-like
106571831,3,3,3,0,0,0,0,0,0,samd5,sterile alpha motif domain containing 5
106573567,3,3,3,0,0,0,0,0,0,LOC106573567,fibrillin-2-like
106580093,3,3,3,0,0,0,0,0,0,LOC106580093,"fibronectin type III domain-containing protein 5-like, transcript variant X2"
